,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,daysince,sinday,cosday,sindmo,cosdmo,year,sinrise,cosrise,sinset,cosset,city_b,city_le,city_lh,city_p,city_q,city_sa,city_si,city_su,city_t,city_u
0,29.9,26.0,36.3,31.6,17.59,7.7,0.0,6.9,20.2,277.0,3.61,0,0,0.0,1.0,0.0,1.0,2018,0.9807852804032304,0.19509032201612833,-0.9988483864849507,-0.0479781285213447,0,0,0,0,0,0,0,1,0,0
1,30.6,25.7,37.7,31.2,19.87,9.4,0.0,7.1,18.0,168.0,4.11,0,1,0.20129852008866006,0.9795299412524945,0.016889480013931098,0.9998573625597098,2018,0.9807852804032304,0.19509032201612833,-0.9990482215818578,-0.04361938736533613,0,0,0,0,0,0,0,1,0,0
2,31.8,25.9,40.3,31.7,20.44,7.8,0.0,8.1,21.2,125.0,4.23,0,2,0.39435585511331855,0.9189578116202306,0.03377414188346816,0.999429490929718,2018,0.981627183447664,0.19080899537654492,-0.9990482215818578,-0.04361938736533613,0,0,0,0,0,0,0,1,0,0
3,30.8,26.0,39.1,31.6,20.44,29.7,0.0,7.2,21.6,190.0,4.22,0,3,0.5712682150947923,0.8207634412072763,0.05064916883871271,0.9987165071710528,2018,0.981627183447664,0.19080899537654492,-0.9990482215818578,-0.04361938736533613,0,0,0,0,0,0,0,1,0,0
4,30.9,25.2,37.6,29.9,20.1,22.5,0.0,6.9,21.2,241.0,4.16,0,4,0.72479278722912,0.6889669190756866,0.0675097468583653,0.9977186146800707,2018,0.9824503977255098,0.18652403600873457,-0.9992290362407229,-0.03925981575906901,0,0,0,0,0,0,0,1,0,0
5,31.0,25.6,38.1,30.9,19.81,8.7,0.0,10.3,20.2,253.0,4.08,0,5,0.8486442574947509,0.5289640103269624,0.08435106604304488,0.996436098130433,2018,0.9824503977255098,0.18652403600873457,-0.9992290362407229,-0.03925981575906901,0,0,0,0,0,0,0,1,0,0
6,29.3,25.1,34.7,29.9,13.01,7.8,0.0,10.6,22.7,284.0,2.78,0,6,0.9377521321470804,0.3473052528448203,0.10116832198743217,0.9948693233918952,2018,0.9832549075639546,0.18223552549214744,-0.9993908270190957,-0.03489949670250165,0,0,0,0,0,0,0,1,0,0
7,31.4,25.4,38.0,30.6,19.78,6.4,0.0,7.1,17.6,133.0,4.21,0,7,0.9884683243281114,0.1514277775045767,0.117956717150846,0.9930187374259336,2018,0.9832549075639546,0.18223552549214744,-0.9993908270190957,-0.03489949670250165,0,0,0,0,0,0,0,1,0,0
8,31.9,25.7,39.3,31.2,20.13,9.1,0.0,12.1,25.6,272.0,4.22,0,8,0.9987165071710528,-0.05064916883871264,0.13471146222586097,0.9908848681582388,2018,0.9840406976462909,0.17794354547384178,-0.9993908270190957,-0.03489949670250165,0,0,0,0,0,0,0,1,0,0
9,31.9,25.5,36.9,29.8,19.46,10.1,0.0,14.8,34.2,278.0,4.24,0,9,0.9680771188662043,-0.2506525322587204,0.15142777750457667,0.9884683243281114,2018,0.9840406976462909,0.17794354547384178,-0.9995335908367129,-0.030538513209822718,0,0,0,0,0,0,0,1,0,0
