,year,month,day,daysince,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),shortwave_radiation_sum (MJ/m²),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,rain_sum (mm),sinrise,cosrise,sinset,cosset,city_b,city_le,city_lh,city_p,city_q,city_sa,city_si,city_su,city_t,city_u
0,2018,1,1,0,29.9,26.0,36.3,31.6,17.59,0.0,6.9,20.2,277.0,3.61,0,7.7,0.9807852804032304,0.19509032201612833,-0.9988483864849507,-0.0479781285213447,0,0,0,0,0,0,0,1,0,0
1,2018,1,2,1,30.6,25.7,37.7,31.2,19.87,0.0,7.1,18.0,168.0,4.11,0,9.4,0.9807852804032304,0.19509032201612833,-0.9990482215818578,-0.04361938736533613,0,0,0,0,0,0,0,1,0,0
2,2018,1,3,2,31.8,25.9,40.3,31.7,20.44,0.0,8.1,21.2,125.0,4.23,0,7.8,0.981627183447664,0.19080899537654492,-0.9990482215818578,-0.04361938736533613,0,0,0,0,0,0,0,1,0,0
3,2018,1,4,3,30.8,26.0,39.1,31.6,20.44,0.0,7.2,21.6,190.0,4.22,0,29.7,0.981627183447664,0.19080899537654492,-0.9990482215818578,-0.04361938736533613,0,0,0,0,0,0,0,1,0,0
4,2018,1,5,4,30.9,25.2,37.6,29.9,20.1,0.0,6.9,21.2,241.0,4.16,0,22.5,0.9824503977255098,0.18652403600873457,-0.9992290362407229,-0.03925981575906901,0,0,0,0,0,0,0,1,0,0
5,2018,1,6,5,31.0,25.6,38.1,30.9,19.81,0.0,10.3,20.2,253.0,4.08,0,8.7,0.9824503977255098,0.18652403600873457,-0.9992290362407229,-0.03925981575906901,0,0,0,0,0,0,0,1,0,0
6,2018,1,7,6,29.3,25.1,34.7,29.9,13.01,0.0,10.6,22.7,284.0,2.78,0,7.8,0.9832549075639546,0.18223552549214744,-0.9993908270190957,-0.03489949670250165,0,0,0,0,0,0,0,1,0,0
7,2018,1,8,7,31.4,25.4,38.0,30.6,19.78,0.0,7.1,17.6,133.0,4.21,0,6.4,0.9832549075639546,0.18223552549214744,-0.9993908270190957,-0.03489949670250165,0,0,0,0,0,0,0,1,0,0
8,2018,1,9,8,31.9,25.7,39.3,31.2,20.13,0.0,12.1,25.6,272.0,4.22,0,9.1,0.9840406976462909,0.17794354547384178,-0.9993908270190957,-0.03489949670250165,0,0,0,0,0,0,0,1,0,0
9,2018,1,10,9,31.9,25.5,36.9,29.8,19.46,0.0,14.8,34.2,278.0,4.24,0,10.1,0.9840406976462909,0.17794354547384178,-0.9995335908367129,-0.030538513209822718,0,0,0,0,0,0,0,1,0,0
10,2018,1,11,10,30.8,25.2,35.1,29.3,14.15,0.0,14.9,35.6,276.0,3.16,0,4.2,0.984807753012208,0.17364817766693041,-0.9995335908367129,-0.030538513209822718,0,0,0,0,0,0,0,1,0,0
11,2018,1,12,11,30.7,24.7,36.1,28.8,15.45,0.0,11.3,45.4,280.0,3.5,0,3.1,0.984807753012208,0.17364817766693041,-0.9995335908367129,-0.030538513209822718,0,0,0,0,0,0,0,1,0,0
12,2018,1,13,12,29.9,25.9,33.8,30.5,14.65,0.0,20.6,43.9,279.0,3.3,0,2.6,0.9855560590580777,0.16934950384902475,-0.9995335908367129,-0.030538513209822718,0,0,0,0,0,0,0,1,0,0
13,2018,1,14,13,30.6,25.8,36.3,29.9,16.18,0.0,14.2,31.7,277.0,3.54,0,4.2,0.9855560590580777,0.16934950384902475,-0.9996573249755573,-0.026176948307873482,0,0,0,0,0,0,0,1,0,0
14,2018,1,15,14,30.6,25.6,35.7,30.1,16.94,0.0,15.6,30.2,290.0,3.61,0,4.0,0.9862856015372313,0.16504760586067782,-0.9996573249755573,-0.026176948307873482,0,0,0,0,0,0,0,1,0,0
15,2018,1,16,15,31.1,25.7,36.8,29.7,20.66,0.0,18.8,33.1,287.0,4.44,0,2.0,0.9862856015372313,0.16504760586067782,-0.9996573249755573,-0.026176948307873482,0,0,0,0,0,0,0,1,0,0
16,2018,1,17,16,31.8,26.0,37.8,30.3,19.81,0.0,12.8,27.0,272.0,4.36,0,5.3,0.9869963665602319,0.1607425656038261,-0.9996573249755573,-0.026176948307873482,0,0,0,0,0,0,0,1,0,0
17,2018,1,18,17,31.3,25.6,37.6,30.3,21.78,0.0,15.0,34.9,284.0,4.41,0,17.8,0.9869963665602319,0.1607425656038261,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
18,2018,1,19,18,31.2,25.3,37.7,29.3,16.7,0.0,13.7,27.7,274.0,3.53,0,32.0,0.9876883405951378,0.15643446504023092,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
19,2018,1,20,19,29.6,24.9,34.8,29.1,15.2,0.0,12.3,32.8,279.0,3.17,0,21.7,0.9876883405951378,0.15643446504023092,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
20,2018,1,21,20,29.9,25.4,33.7,30.1,16.28,0.0,17.1,34.9,283.0,3.61,0,4.9,0.9883615104677607,0.1521233861899168,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
21,2018,1,22,21,29.6,26.1,34.4,30.4,13.37,0.0,18.2,41.8,289.0,3.03,0,6.5,0.9883615104677607,0.1521233861899168,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
