,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),shortwave_radiation_sum (MJ/m²),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,daysince,sinday,cosday,sindmo,cosdmo,year,sinrise,cosrise,sinset,cosset,city_b,city_le,city_lh,city_p,city_q,city_sa,city_si,city_su,city_t,city_u
0,32.3,25.3,38.2,29.6,20.79,0.0,7.6,16.9,134.0,4.45,0,211,-0.9377521321470816,0.3473052528448172,-0.4098203247965877,-0.9121662684969333,2021,0.9958049275746618,0.09150161866340252,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
1,31.7,25.5,37.4,30.3,20.01,0.0,10.2,21.6,131.0,4.32,0,212,-0.8486442574947531,0.5289640103269589,-0.4251678830356408,-0.9051145072503212,2021,0.9958049275746618,0.09150161866340252,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
2,32.6,25.7,37.1,30.8,20.89,0.0,17.3,32.4,116.0,4.73,0,213,-0.7247927872291186,0.688966919075688,-0.44039415155763434,-0.8978045395707417,2021,0.9958049275746618,0.09150161866340252,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
3,32.0,25.7,36.8,31.1,22.19,0.0,15.8,29.2,115.0,4.96,0,214,-0.5712682150947914,0.820763441207277,-0.455494786690634,-0.8902384508083516,2021,0.9958049275746618,0.09150161866340252,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
4,31.9,26.3,36.0,31.6,21.84,0.0,20.2,36.7,106.0,4.99,0,215,-0.39435585511331844,0.9189578116202307,-0.47046548060275545,-0.8824183993782192,2021,0.9953961983671787,0.09584575252022406,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
5,31.7,27.0,36.1,31.9,20.43,0.0,16.9,33.8,107.0,4.68,0,216,-0.20129852008866086,0.9795299412524944,-0.4853019625310808,-0.8743466161445822,2021,0.9953961983671787,0.09584575252022406,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
6,31.6,27.0,36.5,32.0,20.67,0.0,17.1,34.6,106.0,4.63,0,217,-1.7145055188062944e-15,1.0,-0.4999999999999997,-0.8660254037844388,2021,0.9953961983671787,0.09584575252022406,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
7,31.7,26.8,36.9,31.5,20.2,0.0,15.8,29.9,115.0,4.51,0,218,0.2012985200886575,0.979529941252495,-0.5145554000286284,-0.8574571361306512,2021,0.9953961983671787,0.09584575252022406,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
8,32.0,26.2,37.1,31.3,21.56,0.0,14.5,27.7,120.0,4.88,0,219,0.39435585511332183,0.9189578116202293,-0.5289640103269625,-0.8486442574947509,2021,0.9949685182509117,0.10018806161207654,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
9,31.8,24.0,35.2,27.6,23.82,0.0,15.7,30.2,128.0,5.37,0,220,0.5712682150947944,0.8207634412072748,-0.5432217204804187,-0.8395892819696389,2021,0.9949685182509117,0.10018806161207654,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
10,32.1,24.6,37.4,28.4,21.15,0.0,16.8,34.2,126.0,4.73,0,221,0.7247927872291211,0.6889669190756853,-0.5573244631224363,-0.8302947927123765,2021,0.9949685182509117,0.10018806161207654,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
11,32.2,25.3,38.4,30.7,23.03,0.0,10.5,26.3,105.0,4.85,0,222,0.8486442574947514,0.5289640103269618,-0.5712682150947921,-0.8207634412072765,2021,0.9945218953682733,0.10452846326765346,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
12,32.3,25.6,36.3,30.9,22.61,0.0,19.1,41.4,112.0,5.08,0,223,0.9377521321470804,0.34730525284482044,-0.5850489985953073,-0.8109979465095013,2021,0.9945218953682733,0.10452846326765346,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
13,32.1,26.2,35.9,31.3,23.62,0.0,19.1,37.1,109.0,5.37,0,224,0.9884683243281113,0.15142777750457773,-0.5986628823126151,-0.8010010944693846,2021,0.9945218953682733,0.10452846326765346,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
14,31.8,25.7,36.1,30.4,23.36,0.0,17.3,32.4,114.0,5.27,0,225,0.9987165071710529,-0.050649168838710706,-0.6121059825476628,-0.7907757369376985,2021,0.9940563382223196,0.10886687485196474,-0.9914448613738104,-0.13052619222005163,0,0,0,0,0,0,0,1,0,0
